region;freq;call;program;col
BC;540;CBKO;;Coal Harbour, BC
BC;540;CBYW;;Wells, BC
BC;630;CBKU;;Sayward, BC
BC;740;CBUN;;Salmo, BC
BC;860;CBKJ;;Gold River, BC
BC;860;CBKM;;Blue River, BC
BC;860;CBKZ;;Clearwater, BC
BC;860;CBTG;;Gold Bridge, BC
BC;860;CBUG;;Kaslo, BC
BC;860;CBUP;;Merritt, BC
BC;900;CBRK;;Kimberley, BC
BC;990;CBKN;;Shalalth, BC
BC;1150;CBXA;;Mica Dam, BC
BC;1170;CBRH;;New Hazelton, BC
BC;1340;CJEV;;Elkford, BC
BC;1350;CBKY;;Keremeos, BC
BC;1350;CBRZ;;Bralorne, BC
MB;860;CKSB-2;;Saint Lazare, MB
MB;1490;CFNC;;Cross Lake, MB
NT;1210;CBAK;;Aklavik, NT
NT;1280;CBQG;;Wrigley, NT
NU;640;CBIA;;Gjoa Haven, NU
ON;690;CBES;;Ignace, ON
ON;1010;CBON-6;;Blind River, ON
ON;1090;CBON-12;;Mattawa, ON
ON;1240;CBLE;;Beardmore, ON
ON;1240;CBLO;;Mattawa, ON
ON;1450;CBLF;;Foleyet, ON
YT;690;CBDM;;Beaver Creek, YT
YT;940;CBDK;;Teslin, YT
YT;990;CBQJ;;Ross River, YT
