region;freq;call;program;col
MEX-AGS;660;XEEY;;Aguascalientes, AGS
MEX-BC;540;XESURF;;Tijuana, BC
MEX-BC;690;XEWW;;Tijuana, BC
MEX-BC;790;XESU;;Mexicali, BC
MEX-BC;800;XESPN;;Tijuana, BC
MEX-BC;820;XEABCA;;Mexicali, BC
MEX-BC;850;XEZF;;Mexicali, BC
MEX-BC;860;XEMO;;Tijuana, BC
MEX-BC;910;XEAO;;Mexicali, BC
MEX-BC;940;XEMMM;;Mexicali, BC
MEX-BC;950;XEKAM;;Tijuana, BC
MEX-BC;990;XECL;;Mexicali, BC
MEX-BC;1050;XED;;Mexicali, BC
MEX-BC;1090;XEPRS;;Rosarito, BC
MEX-BC;1120;XEMX;;Mexicali, BC
MEX-BC;1150;XERM;;Mexicali, BC
MEX-BC;1160;XEQIN;;San Quintín, BC
MEX-BC;1190;XEMBC;;Mexicali, BC
MEX-BC;1270;XEAZ;;Tijuana, BC
MEX-BC;1310;XEC;;Tijuana, BC
MEX-BC;1370;XEHG;;Mexicali, BC
MEX-BC;1420;XEXX;;Tijuana, BC
MEX-BC;1470;XERCN;;Tijuana, BC
MEX-BC;1550;XEBG;;Tijuana, BC
MEX-BC;1700;XEPE;;Tijuana, BC
MEX-BCS;660;XESJC;;San José del Cabo, BCS
MEX-BCS;790;XENT;;La Paz, BCS
MEX-BCS;940;XERLA;;Santa Rosalía, BCS
MEX-BCS;1050;XEBCS;;La Paz, BCS
MEX-BCS;1180;XEUBS;;La Paz, BCS
MEX-CAMP;700;XEXPUJ;;Xpujil, CAMP
MEX-CAMP;920;XESTRC;;Tenabo, CAMP
MEX-CAMP;950;XEMAB;;Ciudad del Carmen, CAMP
MEX-CAMP;1070;XEIT;;Ciudad del Carmen, CAMP
MEX-CAMP;1470;XEBAL;;Becal, CAMP
MEX-CHIH;540;XETX;;Nuevo Casas Grandes, CHIH
MEX-CHIH;550;XEPL;;Ciudad Cuauhtémoc, CHIH
MEX-CHIH;640;XELOVE;;Ciudad Juárez, CHIH
MEX-CHIH;700;XEGD;;Hidalgo del Parral, CHIH
MEX-CHIH;720;XEJCC;;Ciudad Juárez, CHIH
MEX-CHIH;730;XEHB;;Rancho Primero, CHIH
MEX-CHIH;860;XEZOL;;Ciudad Juárez, CHIH
MEX-CHIH;870;XETAR;;Guachochi, CHIH
MEX-CHIH;880;XECHEP;;Chihuahua, CHIH
MEX-CHIH;970;XEJ;;Ciudad Juárez, CHIH
MEX-CHIH;970;XESW;;Ciudad Madera, CHIH
MEX-CHIH;1000;XEFV;;Ciudad Juárez, CHIH
MEX-CHIH;1110;XEWR;;Ciudad Juárez, CHIH
MEX-CHIH;1190;XEPZ;;Ciudad Juárez, CHIH
MEX-CHIH;1240;XEWG;;Ciudad Juárez, CHIH
MEX-CHIH;1300;XEP;;Ciudad Juárez, CHIH
MEX-CHIH;1420;XEF;;Ciudad Juárez, CHIH
MEX-CHIH;1460;XEYC;;Ciudad Juárez, CHIH
MEX-CHIH;1490;XECJC;;Ciudad Juárez, CHIH
MEX-CHIH;1560;XEJPV;;Ciudad Juárez, CHIH
MEX-CHIH;1620;XECSCGU;;Guachochi, CHIH
MEX-CHIS;600;XEOCH;;Ococingo, CHIS
MEX-CHIS;760;XERA;;San Cristóbal de las Casas, CHIS
MEX-CHIS;1000;XETAC;;Tapachula, CHIS
MEX-CHIS;1030;XEVFS;;Las Margaritas, CHIS
MEX-CHIS;1040;XEPLE;;Palenque, CHIS
MEX-CHIS;1140;XETEC;;Tecpatán, CHIS
MEX-CHIS;1210;XECOPA;;Copainalá, CHIS
MEX-CHIS;1310;XERAM;;Betania, CHIS
MEX-COAH;560;XEGIK;;Monclova, COAH
MEX-COAH;580;XELRDA;;Piedras Negras, COAH
MEX-COAH;610;XESORN;;Saltillo, COAH
MEX-COAH;720;XEDE;;Saltillo, COAH
MEX-COAH;740;XEQN;;Torreón, COAH
MEX-COAH;930;XESAME;;Saltillo, COAH
MEX-COAH;1220;XESAL;;Saltillo, COAH
MEX-COAH;1570;XERF;;Ciudad Acuña, COAH
MEX-COL;1080;XEUU;;Colima, COL
MEX-DF;560;XEOC;;Mexico City, DF
MEX-DF;590;XEPH;;Mexico City, DF
MEX-DF;660;XEDTL;;Mexico City, DF
