region;freq;call;program;col
AL;540;WASG;;Daphne, AL
CA;540;KRXA;;Carmel Valley, CA
CA;540;KVIP;;Redding, CA
FL;540;WFLF;;Pine Hills, FL
GA;540;WDAK;;Columbus, GA
IA;540;KWMT;;Fort Dodge, IA
LA;540;KMLB;;Monroe, LA
MD;540;WGOP;;Pocomoke City, MD
MN;540;WXYG;;Sauk Rapids, MN
NC;540;WETC;;Wendell-Zebulon, NC
NC;540;WRGC;;Sylva, NC
NM;540;KNMX;;Las Vegas, NM
NY;540;WBWD;;Islip, NY
PA;540;WWCS;;Canonsburg, PA
SC;540;WYNN;;Florence, SC
TN;540;WKFN;;Clarksville, TN
TX;540;KDFT;;Ferris, TX
VA;540;WGTH;;Richlands, VA
WI;540;WAUK;;Jackson, WI
AK;550;KTZN;;Anchorage, AK
AZ;550;KFYI;;Phoenix, AZ
CA;550;KUZZ;;Bakersfield, CA
CO;550;KLLV;;Breen, CO
CO;550;KRAI;;Craig, CO
FL;550;WAYR;;Fleming Island, FL
GA;550;WDUN;;Gainesville, GA
HI;550;KNUI;;Wailuku, HI
KS;550;KFRM;;Salina, KS
MO;550;KTRS;;St. Louis, MO
MT;550;KBOW;;Butte, MT
NC;550;WAME;;Statesville, NC
NC;550;WIOZ;;Pinehurst, NC
ND;550;KFYR;;Bismarck, ND
NY;550;WGR;;Buffalo, NY
OH;550;WKRC;;Cincinnati, OH
OR;550;KOAC;;Corvallis, OR
PR;550;WPAB;;Ponce, PR
RI;550;WSJW;;Pawtucket, RI
TX;550;KCRS;;Midland, TX
TX;550;KTSA;;San Antonio, TX
VA;550;WSVA;;Harrisonburg, VA
VT;550;WDEV;;Waterbury, VT
WA;550;KARI;;Blaine, WA
WI;550;WSAU;;Wausau, WI
AL;560;WOOF;;Dothan, AL
AZ;560;KBLU;;Yuma, AZ
CA;560;KZAC;;San Francisco, CA
CO;560;KLZ;;Denver, CO
FL;560;WQAM;;Miami, FL
IL;560;WIND;;Chicago, IL
KY;560;WMIK;;Middlesboro, KY
MA;560;WHYN;;Springfield, MA
MD;560;WFRB;;Frostburg, MD
ME;560;WGAN;;Portland, ME
MI;560;WRDT;;Monroe, MI
MN;560;WEBC;;Duluth, MN
MO;560;KWTO;;Springfield, MO
MT;560;KMON;;Great Falls, MT
NC;560;WGAI;;Elizabeth City, NC
PA;560;WFIL;;Philadelphia, PA
SC;560;WVOC;;Columbia, SC
TN;560;WHBQ;;Memphis, TN
TN;560;WNSR;;Brentwood, TN
TX;560;KLVI;;Beaumont, TX
WA;560;KPQ;;Wenatchee, WA
WV;560;WJLS;;Beckley, WV
GU;567;KGUM;;Agana, GU
AL;570;WAAX;;Gadsden, AL
CA;570;KCFJ;;Alturas, CA
CA;570;KLAC;;Los Angeles, CA
FL;570;WTBN;;Pinellas Park, FL
HI;570;KUAI;;Eleele, HI
KY;570;WBMP;;Paducah, KY
KY;570;WIDS;;Russell Springs, KY
MD;570;WWRC;;Bethesda, MD
NC;570;WQDR;;Raleigh, NC
NC;570;WWNC;;Asheville, NC
NM;570;KWML;;Las Cruces, NM
NY;570;WMCA;;New York, NY
NY;570;WSYR;;Syracuse, NY
OH;570;WKBN;;Youngstown, OH
SD;570;WNAX;;Yankton, SD
TX;570;KLIF;;Dallas, TX
UT;570;KNRS;;Salt Lake City, UT
WA;570;KVI;;Seattle, WA
WI;570;WMAM;;Marinette, WI
AL;580;WACQ;;Tuskegee, AL
AZ;580;KSAZ;;Marana, AZ
CA;580;KMJ;;Fresno, CA
CO;580;KUBC;;Montrose, CO
FL;580;WDBO;;Orlando, FL
GA;580;WGAC;;Augusta, GA
ID;580;KIDO;;Nampa, ID
IL;580;WILL;;Urbana, IL
KS;580;WIBW;;Topeka, KS
LA;580;KJMJ;;Alexandria, LA
MA;580;WTAG;;Worcester, MA
MI;580;WTCM;;Traverse City, MI
MS;580;WELO;;Tupelo, MS
NC;580;WKSK;;West Jefferson, NC
OR;580;KTMT;;Ashland, OR
PA;580;WHP;;Harrisburg, PA
PR;580;WKAQ;;San Juan, PR
SD;580;KZMX;;Hot Springs, SD
TN;580;WXRH;;Rockwood, TN
TX;580;KRFE;;Lubbock, TX
VA;580;WLVA;;Lynchburg, VA
WI;580;WKTY;;La Crosse, WI
WV;580;WCHS;;Charleston, WV
AK;590;KHAR;;Anchorage, AK
CA;590;KTIE;;San Bernardino, CA
CO;590;KCSJ;;Pueblo, CO
FL;590;WAFC;;Clewiston, FL
GA;590;WDWD;;Atlanta, GA
HI;590;KSSK;;Honolulu, HI
KY;590;WVLK;;Lexington, KY
MA;590;WEZE;;Boston, MA
MI;590;WJMS;;Ironwood, MI
MI;590;WKZO;;Kalamazoo, MI
MT;590;KGLE;;Glendive, MT
NC;590;WCAB;;Rutherfordton, NC
NE;590;KXSP;;Omaha, NE
NY;590;WROW;;Albany, NY
OR;590;KUGN;;Eugene, OR
PA;590;WARM;;Scranton, PA
PA;590;WMBS;;Uniontown, PA
TN;590;WWLX;;Lawrenceburg, TN
TX;590;KLBJ;;Austin, TX
UT;590;KSUB;;Cedar City, UT
VA;590;WLES;;Lawrenceville, VA
WA;590;KQNT;;Spokane, WA
AZ;600;KVNA;;Flagstaff, AZ
CA;600;KOGO;;San Diego, CA
CO;600;KCOL;;Wellington, CO
CT;600;WICC;;Bridgeport, CT
FL;600;WBOB;;Jacksonville, FL
IA;600;WMT;;Cedar Rapids, IA
KY;600;WKYH;;Paintsville, KY
LA;600;WVOG;;New Orleans, LA
MD;600;WCAO;;Baltimore, MD
ME;600;WFST;;Caribou, ME
MI;600;WCHT;;Escanaba, MI
MI;600;WSNL;;Flint, MI
MT;600;KGEZ;;Kalispell, MT
NC;600;WCVP;;Murphy, NC
NC;600;WSJS;;Winston-Salem, NC
ND;600;KSJB;;Jamestown, ND
OH;600;WRQX;;Salem, OH
PA;600;WFRM;;Coudersport, PA
PR;600;WYEL;;Mayag ez, PR
TN;600;WREC;;Memphis, TN
TX;600;KROD;;El Paso, TX
TX;600;KTBB;;Tyler, TX
WV;600;WVAR;;Richwood, WV
AL;610;WAGG;;Birmingham, AL
AR;610;KARV;;Russellville, AR
CA;610;KAVL;;Lancaster, CA
CA;610;KEAR;;San Francisco, CA
CT;610;WSNG;;Torrington, CT
FL;610;WIOD;;Miami, FL
FL;610;WVTJ;;Pensacola, FL
GA;610;WCEH;;Hawkinsville, GA
GA;610;WPLO;;Grayson, GA
KY;610;WRUS;;Russellville, KY
MN;610;KDAL;;Duluth, MN
MO;610;KFNZ;;Kansas City, MO
MT;610;KOJM;;Havre, MT
NC;610;WPZS;;Charlotte, NC
NE;610;KCSR;;Chadron, NE
NH;610;WGIR;;Manchester, NH
NM;610;KNML;;Albuquerque, NM
OH;610;WTVN;;Columbus, OH
OR;610;KRTA;;Medford, OR
PA;610;WTEL;;Philadelphia, PA
PR;610;WEXS;;Patillas, PR
TX;610;KILT;;Houston, TX
UT;610;KVNU;;Logan, UT
VA;610;WPLI;;Roanoke, VA
VA;610;WXVA;;Winchester, VA
WA;610;KONA;;Kennewick-Richland, WA
AK;620;KGTL;;Homer, AK
AZ;620;KTAR;;Phoenix, AZ
CA;620;KIGS;;Hanford, CA
CA;620;KMJC;;Mount Shasta, CA
CO;620;KJOL;;Grand Junction, CO
FL;620;WDAE;;St. Petersburg, FL
GA;620;WTRP;;La Grange, GA
IA;620;KMNS;;Sioux City, IA
KY;620;WAKY;;Louisville, KY
ME;620;WZON;;Bangor, ME
MS;620;WJDX;;Jackson, MS
NC;620;WDNC;;Durham, NC
NJ;620;WSNR;;Jersey City, NJ
NY;620;WHEN;;Syracuse, NY
OR;620;KPOJ;;Portland, OR
PA;620;WKHB;;Irwin, PA
SC;620;WFMV;;Cayce, SC
TN;620;WRJZ;;Knoxville, TN
TX;620;KTNO;;Plano, TX
